rank,movie_title,rating,year,star_cast,Director
1,The Shawshank Redemption,9.234886271942335,1994,"Frank Darabont (dir.), Tim Robbins, Morgan Freeman",Frank Darabont
2,The Godfather,9.156458869182268,1972,"Francis Ford Coppola (dir.), Marlon Brando, Al Pacino",Francis Ford
3,The Dark Knight,8.988223831457182,2008,"Christopher Nolan (dir.), Christian Bale, Heath Ledger",Christopher Nolan
4,The Godfather Part II,8.98440778000676,1974,"Francis Ford Coppola (dir.), Al Pacino, Robert De Niro",Francis Ford
5,12 Angry Men,8.94989943368381,1957,"Sidney Lumet (dir.), Henry Fonda, Lee J. Cobb",Sidney Lumet
6,Schindler's List,8.936966983434603,1993,"Steven Spielberg (dir.), Liam Neeson, Ralph Fiennes",Steven Spielberg
7,The Lord of the Rings: The Return of the King,8.92582074674487,2003,"Peter Jackson (dir.), Elijah Wood, Viggo Mortensen",Peter Jackson
8,Pulp Fiction,8.849115752203588,1994,"Quentin Tarantino (dir.), John Travolta, Uma Thurman",Quentin Tarantino
9,The Lord of the Rings: The Fellowship of the Ring,8.806519092310133,2001,"Peter Jackson (dir.), Elijah Wood, Ian McKellen",Peter Jackson
1," Il buono, il brutto, il cattivo",8.79204525813737,1966,"Sergio Leone (dir.), Clint Eastwood, Eli Wallach",Sergio Leone
11,Forrest Gump,8.767865520370863,1994,"Robert Zemeckis (dir.), Tom Hanks, Robin Wright",Robert Zemeckis
12,Fight Club,8.748935123065678,1999,"David Fincher (dir.), Brad Pitt, Edward Norton",David Fincher
13,Inception,8.733222104260532,2010,"Christopher Nolan (dir.), Leonardo DiCaprio, Joseph Gordon-Levitt",Christopher Nolan
14,The Lord of the Rings: The Two Towers,8.731532279241687,2002,"Peter Jackson (dir.), Elijah Wood, Ian McKellen",Peter Jackson
15,The Empire Strikes Back,8.700702835249405,1980,"Irvin Kershner (dir.), Mark Hamill, Harrison Ford",Irvin Kershner
16,The Matrix,8.67018625142036,1999,"Lana Wachowski (dir.), Keanu Reeves, Laurence Fishburne",Lana Wachowski
17,Goodfellas,8.652336239391882,1990,"Martin Scorsese (dir.), Robert De Niro, Ray Liotta",Martin Scorsese
18,One Flew Over the Cuckoo's Nest,8.640056521635566,1975,"Milos Forman (dir.), Jack Nicholson, Louise Fletcher",Milos Forman
19,Se7en,8.604301182930447,1995,"David Fincher (dir.), Morgan Freeman, Brad Pitt",David Fincher
20,Shichinin no samurai,8.59901449569193,1954,"Akira Kurosawa (dir.), Toshirô Mifune, Takashi Shimura",Akira Kurosawa
21,It's a Wonderful Life,8.596530137462615,1946,"Frank Capra (dir.), James Stewart, Donna Reed",Frank Capra
22,The Silence of the Lambs,8.588246447445343,1991,"Jonathan Demme (dir.), Jodie Foster, Anthony Hopkins",Jonathan Demme
23,Cidade de Deus,8.579302415264378,2002,"Fernando Meirelles (dir.), Alexandre Rodrigues, Leandro Firmino",Fernando Meirelles
24,Saving Private Ryan,8.57877419019392,1998,"Steven Spielberg (dir.), Tom Hanks, Matt Damon",Steven Spielberg
25,La vita è bella,8.566695754729038,1997,"Roberto Benigni (dir.), Roberto Benigni, Nicoletta Braschi",Roberto Benigni
26,The Green Mile,8.56140526964735,1999,"Frank Darabont (dir.), Tom Hanks, Michael Clarke Duncan",Frank Darabont
27,Interstellar,8.561336807998764,2014,"Christopher Nolan (dir.), Matthew McConaughey, Anne Hathaway",Christopher Nolan
28,Star Wars,8.55209691407931,1977,"George Lucas (dir.), Mark Hamill, Harrison Ford",George Lucas
29,Terminator 2: Judgment Day,8.53635342033719,1991,"James Cameron (dir.), Arnold Schwarzenegger, Linda Hamilton",James Cameron
